sentences,labels
 ATUALIZAR  RAMAL  LOCALIZADOR  PESSOA  PORTAL  PETROBRAS  ALTERAR  NOME  RAMAL  BABYLON,0
GOSTARIA  REGISTRAR   AGRADECIMENTO   LUIZ CHAVE Y7DJ   PRONTIFICAR  ATENDER   CHAMAR  PROATIVIDADE  COMPROMETIMENTO  ALIAS  PARABEM   TECNICO   ATENDER    NOTO 10 ,1
 CHAMAR  RESOLVER PARCIALMENTE   REALIZAR   AUMENTAR  COTAR  DRIVE W,2
EXCELENTE ATENDIMENTO ,1
 AGUARDAR APROXIMADAMENTE  MES  CONCLUSAO  ATENDIMENTO ,2
 RESOLUCAO  PROBLEMA   RAPIDO ,1
 SOLICITACAO  ATENDIDO  MANEIRO PROFISSIONAL   QUALIFICAR ,1
OTIMO ATENDIMENTO  CLARO  OBJETIVO ,1
 RAMAL 7516523 NAO  FUNCIONAR  GRUPAR  CAPTURAR,2
 ATENDIMENTO  RAPIDO  EFICIENTE  CORDIAL ,1
PREZADOS    BOM TARDAR      APESAR  PROBLEMA  LOTUS NOTAR  VOLTAR    RESOLVER   PRAZO      ESTAO  PARABENS ,1
EXCELENTE ATENDIMENTO  PARABENS   ,1
EXCELENTE ATENDIMENTO,1
EXCELENTE,1
PARABENS  PELAR ATENDIMENTO EFICIENTE   COMPETENCIA ,1
 FUNCIONARIO   PARABEM PELAR ATENDIMENTO      EDUCAR  EFICIENTE ,1
ATENDENTE  ATENCIOSO  EFICIENTE  PROATIVO ,1
 ATENDENTE   PROFISSIONAL  RESOLVER  PROBLEMA  DIFICULDADE  PESSOA  COMPETENTE       PARABENS ,1
ACHO  BUROCRATICO    AJUDAR ,2
 ESCLARECER SOBRAR  SITUACAO ,0
ATENDIMENTO  QUALIDADE  ATENCAO   OBRIGAR,1
 ATENDENTE NAO  REALIZAR  CADASTRAMENTO  TANQUE  NAVIO     CODIGO  1B4X,2
 PELAR ATENDIMENTO   NOTO  10 ,1
OTIMO ATENDIMENTO  AGILIDADE  PROCESSAR   FUNCIONARIO MAICON  OTIMO TRABALHAR ,1
OTIMA ATENDENTE ,1
BOM ATENDIMENTO,1
 RESOLVER   LIMITACOES  REGRAR  ,0
DEMORA  PROCEDIMENTO  LENTIDAO  REDAR ,2
DEMORA  PROCEDIMENTO  LENTIDAO  REDAR ,2
EXCELENTE ATENDIMENTO ,1
ESPERO  NAO HAVER CUSTAR ALGUM   SERVICO  UMAR   NAO HAVER ANTEDIMENTO PROPRIAMENTE  ,2
  SUSPENDER  ATENDIMENTO DEVER  DEMANDAR  PARAR  PRODUCAO  PLATAFORMA P19  FICAR PARIR UMAR  TENTATIVO  PROXIMO ATENDIMENTO ,0
ATENDIMENTO  QUALIDADE  PRESTEZA ,1
APESAR  PADRAO   NAO   APOIAR  SMARTPHONE PESSOAL   CASAR ESPECIFICO   CONSEGUIR ACESSAR ATRAVES  NOTEBOOK   OUTRO USUARIO CONSEGUIR ACESSAR ATRAVES   SMARTPHONE    SUGERIR PROBLEMA   CHAVE  ACESSO ,2
 ATENDENTE DEMONSTRAR TOTAL CONHECIMENTO  RESOLVER RAPIDAMENTE  FALHO ,1
OTIMA ATENDENTE,1
 ATENDENTE   SOLICITO    PROBLEMA  SOLUCIONAR  UMAR VELOCIDADE INCRIVEL  PARABENS   881 N  ATENDIMENTO ,1
BOM ATENDIMENTO,1
FUNCIONARIO PRESTATIVO  EFICIENTE,1
NAO RESOLVEL  PROBLEMA  CONDUTA  REPOSICAO INVIAVEL PARIR   ENCONTRAR EMBARCAR,2
  ATENDER   PROBLEMA  SOLUCIONAR,1
  ATENDER   SOLUCIONAR  PROBLEMA,1
EQUIVOQUEIME   CONTATAR 881   DEVER SOLICITAR  SERVICO ATRAVES  DISC,0
ATENDENTE  RESPONSAVEL  SEGURO,1
SOLICITEI  MES  SERVICO  SO RECENTEMENTE ENTRAR  CONTATO ,2
SOLICITACAO NAO RESOLVIDO PEDIR REABRIR  CHAMAR ,0
EQUIPAMENTO OPERACIONAL  ATENDER   ESPECTATIVAS ,1
HOUVE  ATRASAR CONSIDERAVEL  DATAR  ENTREGAR   ATRASAR NAO  COMUNICAR ANTECIPADAMENTE    CAUSAR  INSATISFACAO  CLIENTE  ,2
  TESTE  POREM   PRINCIPIO   SOLUCIONAR ,0
 ATENDENTE  EXTREMAMENTE SOLICITO  COMPETENTE,1
 PROFISSIONAL CARLA CRISTINA DURAES   ATENCIOSO  EFICIENTE        SERVICO  TIC NAO ATENDER   MICRO VOLTAR   DEFEITO 5 MINUTO   DEVOLVER   DEMORAR 3 SEMANA ENTRAR  ABERTURA  CHAMAR  SUAR CONCLUSAO INSATISFATORIO,2
DEMOROU     NAO LIGAR     RETORNAR  SITUACAO ,2
 NECESSARIO ACESSAR  PLSQL   TECNICO FICAR   INSTALAR    EXCEL NAO CONSEGUIR   PESQUISAR ATRAVES  QUERY ,2
APESAR  PROBLEMA RESOLVER  FICAR DEPENDER   LIBERACAO  AUTORIZACAO   DEMANDAR  REALIZAR  TELEFONAR FIXAR    TAMBEM COMPROMETER  AGILIDADE   RISCAR  CANCELAMENTO  DEMANDAR ,2
ATENDIMENTO   PRAZO   ACORDAR   SOLICITAR   ,0
ATENDE RAPHAEL   ATENCIOSO   SUGESTAO PARIR MELHORIA  PRCESSO ,1
HAVER DEMORAR  IMPACTAR  GESTAO  RTA   Q FORMAR   AGRADECIDO PELAR SOLUCAO  ,0
 EQUIPAR ATENDER PRONTAMENTE  CHAMAR  POREM  PROCEDIMENTO NAO SUTIU EFEITO  ACRESCENTASE    FATO   DEMORAR APROXIMADAMENTE 7 DIA PARIR  EQUIPAR  881 ENTRAR  CONTATO PARIR PERGUNTAR    NUMERO  LINHA  SO  D    ATENDIMENTO PROSEGUIU   SOLITITAR  REABERTURA  CHAMAR NAO HAVER  POSSIBILIDADE   OUTRO CHAMAR    ABERTO ,2
 ATENDIMENTO     BOM   OBRIGAR PELAR AJUDAR ,1
 FUNCIONALIDADE  LIGACAO  NAO MIGRAR  RAMAL ANTIGO PARIR     NAO CONSEGUIR REALIZAR CHAMAR EXTERNO       BUSCA EMPREGADOS    NENHUM  RAMAL   ANTIGO SAIR     NAO ENTRAR  CADASTRAR ,2
OTIMO ATENDIMENTO,1
 RESOLVER PARCIALMENTE    OUTRO BATER DURAR 20 MIN   DURO 50 MIN    INFORMAR  NAO  BATER    NOTEBOOK  ,2
EQUIPE ATENCIOSO  RAPIDO  PARABENS ,1
    ATENDIMENTO     LONGO   PROBLEMA  RESOLVER  CONTENTAR ,0
 APOIAR  MOSTROUSE  PROATIVO  ATENDIMENTO  SUPERAR  EXPECTATIVA ,1
 PRESTATIVIDADE  PROATIVIDADE  EQUIPAR  ATENDIMENTO ,1
 PDFS  GERAR   ALGUM FICAR  FORMATO ERRAR  ALEM D    FERRAMENTA  VISUALIZACAO APRESENTAR FALHO ,2
NAO  REALIZAR  SOLICITAR  OCORREU  ERRAR  SOLICITACAO  FALTAR PROATIVIDADE    TIC PARIR SOLUCIONAR   REGISTRAR INC000023227182 EXPLICAR  OCORRER ,2
TRABALHAR  BOM,1
OTIMO ATENDIMENTO ,1
SERVICO REALIZADO  SUCESSO,1
JA  ALGUM ANO  PROBLEMA   MICRO    DIFICULTAR    TRABALHAR  EXTREMAMENTE LENTAR   CONFLITO  PRECISAR REINICIAR      MEDIO LEVAR  20  30 MINUTO PARIR LIGAR    REINICIAR  ANALISE  TECNICO  SATISFATORIO   CONDENAR  MAQUINA  TROCAR IMEDIATAMENTE  OUTRO ,0
OBRIGAR   TECNICO  APOIAR   OSVALDO CONSEGUIR RESOLVER    PROBLEMA ,1
OTIMO ATENDIMENTO,1
 PROBLEMA  TELEFONAR PERSISTIR  NAO RECEBER ALGUM LIGACAO ,2
NAO RESOLVER  LIGAR PARIR  RAMAL ERRAR  NAO        OCORRER  NAO  SOLUCIONAR  DEMANDAR   ,2
    ATENDER ,1
  PARABEN  TIC ,1
  ATENDIDO   TELEFONAR  POREM NADO  SOLUCIONAR  CONTINUO  CONSEGUIR  NENHUM   CHAMAR  TAMBEM   CADEADO ELETRONICO,0
NAO EXISTIR UMAR FORMAR  COMUNICACAO   TIC PARIR   ANDAMENTO  SOLICITACAO         SERVICO LEVAR    DIA  FICASE   SOBRAR  ANDAMENTO     FALTAR     CONCLUSAO  PROXIMO  ETC ,0
 SERVICO  REPASSAR PARIR  SETOR  COMPETENCIA   SIMPATICO  ATENCIOSO  ATENDENTE ,0
ATENDIMENTO REALIZAR  EFICIENCIA   CURTIR PERIODO   ,1
EXCELENTE ATENDIMENTO   OPERADOR  SERVICO NECESSITAR   PACIENCIA DEVER  PRECARIEDADE TEMPORARIA    TRANSMISSAO  RADIAR  LINK PCE1  P08    TRANSFERENCIA  300 MB DURAR 45 HORAR   OBRIGAR  EQUIPAR ,1
AGUARDA SAP VOLTAR   NORMAL ,0
DEMORARAM  PARIR COMPARECER  SALA ,0
 BOM  ATENDIMENTO ,1
EXCELENTE ATENDIMENTO  ,1
 PROBLEMA  PARCIALMENTE RESOLVER   NAO CONSEGUIR ACESSAR  PORTAL PETROBRAS  OPCAO VIAGEM,2
RESOLVIDO  ATENCAO  SUCESSO ,1
 PROBLEMA  ABERTURA  CRONOGRAMA NAO  RESOLVER  POREM   CRONOGRAMA  DESBLOQUEAR  CONSEGUIR   AVANCAR FISICO ATRAVES   GANTT  CLARITY  PARIR CRIACAO  RAP ,0
NAO OBTER ACESSO  S PASTAR,2
SOLUCIONADOR SIMPATICO  EFICIENTE ,1
 BOM  PARABEM ,1
 BOM  PARABEM ,1
ATENDENTE SOLICITO  PACIENTE   QUASE 220  ATENDIMENTO ,1
PODERIA   RESOLVER    CHAMAR     EMPENHAR  CRITERIO  COMUNICARSE   SOLICTANTE PARIR AVERIGUAR  REAL NECESSIDADE  CHAMAR ,2
OTIMO ATENDIMENTO ,1
EXCELENTE PROFISSIONAL  AGIL   EDUCADO ,1
BOM ATENDIMENTO ,1
  ATENDER  RESOLVER  PROBLEMA,1
  ATENDER  RESOLVER  PROBLEMA ,1
EXCELENTE ATENDIMENTO   NECESSITAR  APOIAR TEC    PROBLEMA  RESOLVER INTERNAMENTE ,0
 CHAMAR  ABERTO  MANHA     HOJE  ATENDER ,2
 BENM ATENDER  RESOLVER  PROBLEMA ,1
  ATENDER  RESOLVER  PROBLEMA ,1
PESSIMO ATENDIMENTO  VEJO  NAO  SUPORTAR PARIR  SOFTWARE  HA  PROBLEMA  CONFIGURACAO  DOMINIO NAO RESOLVIODO ,2
RESOLVIDO RAPIDAMENTE  ,1
 ATENCAO  COMPREENSAO  VONTADE  RESOLVER  PROBLEMA   PACIENCIA,1
 ATENDIMENTO   IMEDIATO    OBRIGAR ,1
NAO ENTENDER   CHAMAR  RESOLVER   NOTEBOOK LIGAR    PACOTE OFFICE NAO  INSTALAR  PRECISO  PACOTE OFFICE PARIR TRABALHAR ,2
   SERVICO     ATENDIMENTO NOTO     ,1
 RAMAL  CONTINUAR   NOME  DESLIGUEI  LIGAR  TELEFONAR    PARECER   NOME ,2
AGILIDADE,1
 INFORMAR   ACESSO   SAP  NAO  LIBERAR ,0
PRECISAVA  VERSAO 20143  PETREL PARIR  ABRIR PROJETO ENVIAR  PAECEIRA ,0
AGUARDANDO LIBERACAO  ACESSO   SAP ,0
NAO CONCORDAR   INFORMACAO  TI  SOLICITAR   CHAMAR PARIR INCLUIR PARIR  SERIAR  CHAMAR      COMPUTADOR  LIVRAR   INFORMACAO  CONTATO   SOLICITACAO     JA  FEITO UMAR  SOLICITACAO CONFORMAR ORIENTAR PELAR TI ,2
 ATENDIMENTO  MARAVILHOSO   OBRIGAR ,1
 ATENDIMENTO    PRESTEZA ,1
 MAQUINA PRECISAR  MANUTENCAO  NAO  POSSIVEL REALIZAR   ACESSO  ATENDENTE REPASSAR  CHAMAR PARIR  SETOR CORRETAR ,0
EXCELENTE PRESTEZA  PROFISSIONAL EXEMPLAR ,1
 VERDADE   ELIMINAR  PASTAR MAPEADA ,0
 ATENDIMENTO  REALIZAR  EXITO ,1
 ATENDENTE   ATENCIOSO  EFICIENTE ,1
EXCELENTE,1
OTIMO ,1
EXCELENTE ATENDIMENTO ,1
PREZADOS   PROPRIO CONCLUSAO  CHAMAR  INFORMAR   LANCRYPT NAO ENCONTRASE INSTALAR   NAO HAVER COMER CONSIDERAR  CHAMAR FECHAR  NAO HAVER FUNDAMENTAR PARIR  ,2
 FIREFOX JA  ATUALIZADO  NAO  NECESSARIO REALIZACAO D  SERVICO,0
EXCELENTE,1
 COMENTARIO ,0
JA HAVER  OUTRO CHAMAR TRATAR D  PROBLEMA      ENCERRAR ,2
EXCELENTE ATENDIMENTO ,1
ALEM  MOUSE   VERIFICAR   MAQUINA   FILTRAR  LINHA NAO  FUNCIONAR      MAQUINA  CPU  HD EXTERNAR   LEVAR   FEIRAR    INFOMACAO   RETORNAR       01062015     HORARIO  8H    SO  S 1040  MANHA  PROBLEMA   FATO RESOLVER ,2
PROBLEMA RESOLVER ,0
PROBLEMA RESOLVER ,0
EXCELENTE ADENTIMENTO ,1
OTIMO ATENDIMENTO,1
  OPINIAO  PARIR  VERDADEIRO EFICIENCIA NAO DEVER  NECESSARIO ABRIR CHAMAR PARIR    ADICIONAR  ATALHAR   MELHOR SERIAR  NAO  NECESSARIO LIGAR PARIR  881 PARIR  TAO BASICO    ATALHO  TAO IMPOSSIVEL   ACHAR  ,0
EXCELENTE SERVICO PRESTAR  RECOMENDO ,1
  RESPOSTA  ATENDIMENTO    ,0
OTIMO ATENDIMENTO   RAPIDO ,1
EXCELENTE ATENDIMENTO,1
ATENDENTES  CORDATO  SOLICITOS,1
ATENDENTES  CORDATO  SOLICITOS,1
ATENDENTES  CORDATO  SOLICITOS,1
SUPEROU  EXPECTATIVA,1
SUPERAR  EXPECTATIVA,1
 COLABORADOR TIC  ORIENTAR  ENTRAR  CONTATO   EMISSOR  DOCUMENTAR PARIR REPASSAR     VIR  ERRAR ,0
 ATENDIMENTO DEMORAR CERCAR  2 HORAR     COLEGA      SOLICITACAO  ATENDER  CERCAR  1520 MINUTO ANTAR  MIM ,2
S  C,0
   ATENDER  GRATO ,1
 ATENDENTE REPORTAR   PROBLEMA   IMPRESSOR    OCORRER   IMPRESSAO   OK   CONFLITO  ENTRAR  SAP   IMPRESSOR ,2
 C,0
 OBRIGAR PELAR AJUDAR,1
HA  VIRUS  FACEBOOK  NAO NAO  COMPUTADOR    REDAR PETROBRAS     CREIO  ASSUNTO  PARIR  RESOLVER JUNTAR   FACEBOOK  ,0
PARABENS PELAR OTIMO ATENDIMENTO ,1
OTIMO ATENDIMENTO,1
EXCELENTE ATENDIMENTO   ,1
RESOLVEU RAPIDO  SEGURAR ,1
PROFISSIONALISMO  CORDIALIDADE  ATENDIMENTO ,1
PROFISSIONALISMO  CORDIALIDADE  ATENDIMENTO ,1
ATENDENTE ANDRE RACIONAL  PACIENTE   BOM ,1
  SENHA NAO RESOLVER,0
PARABENS   TIC PRECISA   ATENDENTES  VOCE  EXELENTE    ,1
CONTINUEM ,0
OTIMO ATENDIMENTO,1
 COMENTARIOS,0
EXCELENTE ATENDIMENTO    VERSAO ATUALIZADA  ANTERIOR  11  NECESSARIO ,0
 BOM ATENDIENTO ,1
ATENDENTE  PRESTATIVO  EFICIENTE  RAPIDO ,1
ATENDIMENTO SUPER RAPIDO,1
 BOM  ATENDIMENTO,1
NAO  RESOLVER DEVER  PROBLEMA     PETROBRAS ,0
 BOM  ATENDIMENTO,1
SATISFATORIO,1
EXCELENTE TRABALHAR PRESTAR PELAR TIC   GRATO  ONOFRE,1
 PRESTATIVO,1
RAPIDO  DIRETO  OBJETIVO ,1
EXCELENTE ATENDIMENTO ,1
INICIALMENTE   SENHA TAMBEM    ACESSO     PROBLEMA  SOLUCIONAR,0
  NECESSARIO ABRIR OUTRO CHAMAR ,2
ATENDIMENTO RAPIDO  PRECISO,1
 ATENDENTE  DEMONSTRAR  MAU VONTADE PARIR AJUDAR    PACIENCIA   PROBLEMA SO  SOLUCIONAR  AJUDAR  APOIAR   NAO   APOIAR ATENDENTE,2
EXCELENTE ATENDIMENTO ,1
SOLICITEI  COLABORADOR  881  COLOCASSE  JUSTIFICATIVA  PROBLEMA      ACONTECENDO  SAP    ATENDENTE COLOCOU  INFORMACAO  SOLUCAO  CLIENTE INFORMAR  ,2
ATENDIMENTO RAPIDO  EFICAZ  SOLUCAO  ADEQUAR ,1
EQUIPE  ATENDER PRONTAMENTE   CHAMAR  SOLUCIONAR  PROBLEMA ,1
ATENCIOSA  PRECISO  ATENDIMENTO,1
 RAPIDO   ,1
PARABENS OTIMO ATENDIMENTO ,1
ATENDIMENTO  BOM ,1
RAPIDEZ  RESOLUCAO  PROBLEMA ,1
OTIMO ATENDIMENTO,1
REALIZADA LIMPEZA    RETIRAR  ALGUM PROGRAMAR   INICIALIZANDO JUNTAR   LOGIN       VERIFICAR   MEDIR DIMINUIR  LENTIDAO OBSERVAR ,0
EXCELENTE ATENDIMENTO  RAPIDO  EFICIENTE  EFICAZ  AGRADECEMOS   SR LUIZ CLAUDIO ,1
 BOM ATENDIMENTO,1
ATENDIMENTO EXELENTE,1
,0
 RAPIDO  ATENDIMENTO ,1
DEMONSTROU NAO CONHECER  PROCEDIMENTO   PROCURAR  PASSAR  PASSAR GENERICO  PROCEDIMENTO ,2
ATENDIMENTO RAPIDO   RESOLVER  PROBLEMA ,1
 ANALISTA NAO PRESTAR ATENCAO    SOLICITAR ,2
ATENDENTE  EDUCAR  DISPONIVEL ,1
PARABENS PELAR ATENDIMENTO  TECNICO ,1
EXCELENTE ATENDIMENTO,1
APESAR  CHEGAR  ANTECEDENCIA  15 MINUTO PARIR  EVENTO  PERDER  10  MINUTO   TECNICO  DIFICULDADE  LIBERAR  SOM  VIDEO    IMAGEM  N  10 MINUTO   ,2
EXCELENTE ATENDIMENTE  SOLUCAO RAPIDO ,1
OTIMO ATENDIMENTO,1
PRESTEZA  EFICIENCIA,1
 CHAMAR  DEVER   FATO   NAO CONSEGUIR  LIGACAO   RAMAL   CONSEGUIR   LIGACAO CAIR ENTRAR 2  3MINUTOS APOS  APRECE  MENSAGEM  LINHA TELEFONICA NAO DISPONIVEL      RAMAL   SALA  OK       OPCAO  REPARAR  LINHA TELEFONICA NAO EXISTIR  OPTAR PELAR CADEADO ELETRONICO  VISLUMBRAR  POSSIB   TIC MANTER CONTATO,0
    BOM ,1
PROFISSIONAL COMPETENTE,1
AGRADECO PELAR PRONTO ATENDIMENTO  GABRIEL   AUXILIAR   PROBLEMA DESCREVER ACIMA ,1
 PROBLEMA  RESOLVER  SUCESSO PELAR EMPENHAR  DEDICACAO  ANDRE   OBRIGAR ,1
EXCELENTE ATENDIMENTO ,1
ANALISTA REALIZAR PROCEDIMENTO  RAPIDEZ  COMPETENCIA     SOLICITO  ATENCIOSO ,1
 RETORNAR   RAPIDO  AGRADECO  EQUIPAR  ATENDIMENTO  LOTUS NOTES  SST ,1
 AGILIDADE  ATENDIMENTO  FUNDAMENTAL PARIR  NAO  PROBLEMA  PROVISAO  ROYALTIES ,0
INFORMO   CHAMAR NAO  RESOLVER DEVER   PROBLEMA  TRANSACAO  SAP  2605  POREM  ATENDIMENTO  EXCELENTE  ,0
NAO ENTENDEU  PROBLEMA,2
 BOM  RESOLVER  HORAR,1
EXCELENTE ATENDIMENTO  PARABEM ,1
AGRADECO  IMEDIATO ATENDIMENTO   SOLICITACAO   ,1
 FUNCIONARIO  ENTRAR  CONTATO COMIGO NAO  PREPARAR PARIR SOLUCIONAR  PROBLEMA  COMER  INFORMAR PARIR        LIGAR    D  INFORMACAO  CONTINUAR REPETIR   INFORMACAO  NAO    UTILIDADE PARIR  RESOLUCAO  PROBLEMA   MANEIRO GROSSEIRO  SUGIRO   FUNCIONARIO SO ENTRAR  CONTATO   USUARIO      COMER RESOLVER  PROBLEMA   PRESSA ,2
EXCELENTE ATENDIMENTO,1
PARABENS PELAR BOM ATENDIMENTO ,1
OTIMO  RAPIDO ATENDIMENTO,1
 ASSUNTO   SOLICITAR  250515  NAO    BOMA ENCAMINHAMENTO  SOLICITACAO ,2
 SOLUCIONAR  PROBLEMA   PRECISAO  EFICIENCIA,0
ATENDIMENTO EFICIENTE,1
 BOM  RESOLVER  HORAR ,1
PROFISSIONAL COMPETENTE,1
OTIMO ATENDIMENTO ,1
 EQUIPAR  TIC CONSEGUIR RESOLVER  ENCAMINHAR  CHAMAR PARIR  ESQUIPAR MEESCLARECESSE  DUVIDA  RELACAO   ALERTAR     FORNECER TELEFONE  NAO ATENDER ,2
ATENDIMENTO EXCELENTE ,1
 ANDAMENTO,0
ATENDIMENTO EXCELENTE,1
 NECESSARIO ABRIR OUTRO CHAMAR PARIR  RESOLVER  PROBLEMA ,0
ATENTENDE  ATENCIOSO ,1
 TRANSTORNO PROVOCAR PELAR   MIGRACAO  PORTAL PETRONECT PARIR  SAP  IMPACTAR DIRETAMENTE  ATIVIDADES   TRABALHAR   RODIZIO  FORNECEDORES   PROBLEMA JA HAVER APARECER ANTAR  NAO  CRIAR  SOLUCAO DEFINITIVO PARIR EVITAR REPETICAO  FICA  REGISTRAR   PROTESTAR ,2
OTIMO ATENDIMENTO  CATIA ,1
RAPIDO  EFICIENTE,1
 ORIENTAR CORRETAMENTE COMER PROCEDER    ,0
 BOM ATENDIMENTO  SUPER ATENCIOSO,1
 ATENDIMENTO SEGUINTE   CONSTATAR TECLA SCROLL LOCK ATIVADA ,2
  ENVIAR NOTO    DIP PARIR  SOLUCAO  MAPEAMENTO   DIRETORIO RAIZ  SCRIP  LOGON  WINDOWS  DIRETORIO     JA  ACESSO  AUTORIZACAO  GERENCIA ,2
BOM ATENDIMENTO  RAPIDO  PRECISAR  ATENDENTE  DISPOR  AJUDAR   ,1
 FEITO ALTERACAO  ENDERECAR  PASTAR  DRIVE V   INFORMACAO PREVIA ,0
GOSTAR     AGRADECER   TECNICO     ALEX    PEREIRA ANTUNES      CHAVE  ZL5I,1
GOSTEI  PRESTEZA  OBJETIVIDADE  ATENDIMENTO ,1
 ,1
PRECISAREI OBTER OUTRO INFORMACAO PARIR SOLICITAR  ATENDIMENTO ,0
ATENDENTE  SOLICITAR  DISPOR  AJUDAR  RESOLVER  PROBLEMA ,1
 CHAMAR  REPASSAR PARIR OUTRO EQUIPAR  TRATASE   PROBLEMA   PROCESSAR  COMPRAR  PRECISO  CONCLUIR   RAPIDO POSSIVEL  NAO HAVER PREVISAO  CONCLUSAO ,0
ATENDENTE  ATENCIOSO  DEMONSTRAR  CONHECIMENTO  ASSUNTO  PARABENS ,1
 ORIENTAR CORRETAMENTE COMER PROCEDER    ,0
TECNICO  PRESTATIVO,1
ATENDIMENTO  EFICIENTE ,1
   ATENDER   ATENDENTE  ALEM  RESOLVER  PROBLEMA   EXPLICAR     OCORRER ,1
NOTO 10,1
 RAPIDO ,1
SERVICO PERFAZER OBRIGAR,1
BOM ATENDIMENTO ,2
PRECISO   INSTALACAO   DRIVE  IMPRESSOR   JA    OUTRO COMPUTADOR   SALA   SUCESSO ,2
  ABERTO   SOLICITACAO ,2
OTIMO TRABALHAR,1
QUERIA  COMUNICACAO INTEGRADA PARIR PARTIVIPAR  REUNIAO PVX,2
  PROBLEMA    SITE CEF  REDAR PETROBRAS,0
EXCELENTE ATENDIMENTO  RAPIDO,1
110  TOTAL,0
ATENDIMENTO ATENCIOSO  PROATIVO ,1
BOM ATENDIMENTO,1
 TECNICO  CORDIAL  ATENDER  RAPIDEZ  EFICACIA  PARABENS ,1
PROBLEMA RESOLVER  RAPIDAMENTE    PARABEM PELAR EFICIENCIA  QUALIDADE  EDUCACAO ,1
OPCAO ERRAR  LIGAR NOVAMENTE  ACIONEI OPCAO 4 ,0
ATENDIMENTO EXCELENTE ,1
 TECLA  FUNCAO  CORRIGIR    CONFIGURACAO  VIDEO NAO  FUNCIONAR ADEQUADAMENTE   TELA FICAR APAGAR  ASCENDEDO ALEATORIAMENTE ,0
ATENDIMENTO RAPIDO  EFICAZ     PARABENS   TECNICO ,1
INFORMOU PROCEDIMENTOS  SOLUCAO,0
 TECNICO  CORDIAL  AGIL COMER    X5MA,1
 JOSE   PACIENTE  ATENCIOSO  PRESTATIVO  ATENCIOSO   ATENDIMENTO EXCELENTE   TORNAR UMAR SITUACAO DESAGRADAVEL     SATISFACAO ,1
 ATENDIDO  CURTIR PRAZO  ,1
GOSTARIA  INFORMAR  EXCELENTE ATENDIMENTO  SR OSVALDO   HOJE   SETOR  RESOLVER  PROBLEMA   MAQUINA   JA AGRADECER ,1
NAO SOLUCIONAR  PROBLEMA,2
OBRIGAR,1
 OPERADOR LUCIANO   RAPIDO  CORDEAL  RAPIDAMENTE RESOLVER   PEDIR  PARABENS   LUCIANO    OUTRO   INSPIRAR N  ,1
AGRADECO  PRESTEZA   COMPROMISSO  TECNICO  BUSCAR  SOLUCAO  PROBLEMA,1
EXCELENTE ATENDIMENTO  GRATO ,1
RESOLVIDOOBRIGADA,1
EXCELENTE ATENDIMENTO,1
  ORIENTAR,1
GRATA  ANNA BRUNO ,1
     ATENDIDO ,1
SOLICITACAO TOTALMENTE ATENDIDA     POSSIVEL  ,1
EXCELLENTE ATENDIMENTO  CAROLINE  PARABENS,1
EQUIPE  EFICIENTE ,1
ATENDENTE APARENTAR NAO ENTENDER  PROBLEMA  TAMBEM NAO  EXPLICAR  MOTIVAR  ERRAR   SAP APRESENTAR  NAO  PREVISAO PARIR RETORNAR  GAGEJOU  PARIR FALAR   NAO  ENTENDER  PLENITUDE ,2
IRAR SOLICITAR  MUDANCA  BOTAO TIC,0
OTIMO ATENDIMENTO ,1
ATENDIMENTO        ATENCAO  POREM     EXECUTAR  PROGRAMAR NAO EFETUOU NOVAMENTE   GENTILEZA  VERIFICAR  GRATA   ,1
RAPDO  EFICAZ,1
 3 VEZAR  ENVIAR NOTO   NAO CONSEGUIR FALAR COMIGO  RAMAL 8537793   3 VEZAR RESPONDER   RAMAL CORRETAR  8637793      SOLICITAR  ALTERAR  CADASTRAR  ATE  NAO ATENDER  SOLICITACAO ORIGINAL INC000023168277 ,2
EXCELENTE ATENDIMENTO ,1
 SATISFEITO,1
ATENDIMENTO  EFICIENTE,1
EXCELENTE ATENDIMENTO,1
AGUARDANDO ATENDIMENTO  SEGUNDAR NIVEL ,0
 EDGAR   RAFAEL    APOIAR   OTIMOS   ATENDER   PRECISAO ,1
EXCELENTE ATENDIMENTO ,1
ATENDIMENTO EXCELENTE  PARABENS ,1
QUERIA INFORMACAO SOBRAR  ACESSO  VIDEOCONFERENCIA  IP ATAVES  VCP   INFORMAR  NAO HAVER  POSSIBILIDADE ,0
PERFEITO ,0
 NAO CONSEGUIR SALVAR  RELATORIO  SAP     CONSEGUIR ,0
   POSSIVEL  ATENDIDO  ENTRETANTO AGUARDAR POSSIBILIDADE  ATUALIZACAO ,0
 FABIO   SOLICITAR  ATENEU  CHAMAR  EXCELENCIA ,1
OTIMO ATENDIMENTO,1
ATENDIMENTO EFETUADO  SUCESSO  GRATA  GIOVANNA DORNELLES,1
 RAPIDO  CLARO ATENDIMENTO,1
 COMENTARIO ,2
 CHAMAR NAO  ATENDER  DEPENDER  UMAR AUTORIZACAO GERENCIAL,0
PREZADOS  PEDIR NAO ATENDER ,2
 ANALISTA  TIC  ORIENTAR  UTILIZAR  SERVICO INEXISTENTE    DISCAR 100    ATENDIMENTO  INSATISFATORIO ,2
 ANALISTA CONSEGUIR VERIFICAR   PROBLEMA   BOTAO COMPARTILHAR    ORIENTAR    OPCAO  FALIR CONOSCO   WEBSITE  BOTAO ,0
AGILIDADE  EXCELENTE ATENDIMENTO PRESTAR ,1
OTIMA ORIENTACAO ,1
OTIMO ,1
